record_id,Name,company_clean,is_merged,merged_from,canonical_company
C34104,"@ Your Service Consulting, LLC",your service consulting,False,[],your service consulting
C43930,"0 Tolerance Security, LLC",0 tolerance security,False,[],0 tolerance security
C41032,"01 InfoTech, Inc.",01 infotech,False,[],01 infotech
C44490,059,059,False,[],059
C27537,"1 Accord Technologies, LLC",1 accord technologies,False,[],1 accord technologies
C47297,1 Alpha Outdoors LLC,1 alpha outdoors,False,[],1 alpha outdoors
C21523,"1 Click Solution, Inc.",1 click solution,False,[],1 click solution
C35342,1 IT Source,1 it source,False,[],1 it source
C43739,"1 MSP, LLC",1 msp,False,[],1 msp
C29668,1 Network Services,1 network services,False,[],1 network services
C45299,1 Point Networks,1 point networks,False,[],1 point networks
C42544,1 Source IT Solutions,1 source it solutions,False,[],1 source it solutions
C43159,1 Stop Computer Shop Inc,1 stop computer shop,False,[],1 stop computer shop
C26985,1 Stop IT Department,1 stop it department,False,[],1 stop it department
C39064,1 STOP IT DEPT LLC,1 stop it dept,False,[],1 stop it dept
C34229,1+1 Technology,1 1 technology,False,[],1 1 technology
D00001,10 Krypto LLC,10 krypto,False,[],10 krypto
C38712,100% Technology Solutions,100 technology solutions,False,[],100 technology solutions
C44965,"100X, Inc.",100x,False,[],100x
D00002,104 Labs LLC,104 labs,False,[],104 labs
C36355,1060 Technology Inc,1060 technology,False,[],1060 technology
C46257,10D Tech,10d tech,False,[],10d tech
C39502,10D Telecom. Inc.,10d telecom,False,[],10d telecom
C36294,10jin Solutions,10jin solutions,False,[],10jin solutions
C43185,10Pearls LLC,10pearls,False,[],10pearls
C47599,10X Consulting Group,10x consulting group,False,[],10x consulting group
C46792,10x People,10x people,False,[],10x people
C21710,11:11 Systems c/o Green Cloud Technologies,11 11 systems c/o green cloud technologies,False,[],11 11 systems c/o green cloud technologies
C47543,"1103 Ventures, Inc. dba 1103 IT",1103 ventures 1103 it,False,[],1103 ventures 1103 it
C31324,110Technology LLC,110technology,False,[],110technology
C39503,1120 Tech LLC,1120 tech,False,[],1120 tech
C47600,12 Hughes Suite D106,12 hughes suite d106,False,[],12 hughes suite d106
C38515,12 Points Technologies,12 points technologies,False,[],12 points technologies
C41756,12 Points Technologies LLC,12 points technologies,False,[],12 points technologies
C38516,12:34 MicroTechnologies,12 34 microtechnologies,False,[],12 34 microtechnologies
C47601,12241 Sw 115th Terrace,12241 sw 115th terrace,False,[],12241 sw 115th terrace
C45870,1234 Microtechnologies Inc,1234 microtechnologies,False,[],1234 microtechnologies
C25543,1-2-5 Computing Services,1-2-5 computing services,False,[],1-2-5 computing services
C47602,1-2-5 Computing Services,1-2-5 computing services,False,[],1-2-5 computing services
C40365,12g Consulting LLC,12g consulting,False,[],12g consulting
C41806,12M Communications Inc.,12m communications,False,[],12m communications
C35740,13 Layers LLC,13 layers,False,[],13 layers
C47603,13 Layers LLC,13 layers,False,[],13 layers
C52094,14611241 Canada Inc. dba Redacted Technology Consulting,14611241 canada redacted technology consulting,False,[],14611241 canada redacted technology consulting
C42186,1523 Holdings LLC,1523 holdings,False,[],1523 holdings
C36301,1802 Fremont Unit B Unable to find valid Contact Info,1802 fremont unit b unable to find valid contact info,False,[],1802 fremont unit b unable to find valid contact info
C47604,1842IT,1842it,False,[],1842it
C30254,1901Group,1901group,False,[],1901group
C26314,1903 Solutions LLC,1903 solutions,False,[],1903 solutions
C26705,1994,1994,False,[],1994
C39504,1IX,1ix,False,[],1ix
D00003,"1Sasser Enterprises, LLC",1sasser enterprises,False,[],1sasser enterprises
C47605,1SEO Technologies DBA Shock IT,1seo technologies shock it,False,[],1seo technologies shock it
C47606,1Source,1source,False,[],1source
C21524,1Source Technologies,1source technologies,False,[],1source technologies
C43464,"1st Class Hosting, LLC",1st class hosting,False,[],1st class hosting
C39505,1st Class Hosting. LLC,1st class hosting,False,[],1st class hosting
C28675,"1st Preferred Technologies, LLC",1st preferred technologies,False,[],1st preferred technologies
C38300,1Tech LLC,1tech,False,[],1tech
C46793,1Touch Communications,1touch communications,False,[],1touch communications
C46773,1Wire Fiber LLC,1wire fiber,False,[],1wire fiber
C24913,2 Dog Digital,2 dog digital,False,[],2 dog digital
C23582,"2 Redundant, LLC",2 redundant,False,[],2 redundant
C47607,"2 Redundant, LLC",2 redundant,False,[],2 redundant
C32553,20/20 Communications,20/20 communications,False,[],20/20 communications
C21525,"20/20 Technical Advisors, LLC",20/20 technical advisors,False,[],20/20 technical advisors
C34001,"20/20 Technologies, LLC.",20/20 technologies,False,[],20/20 technologies
C34004,20100US Inc,20100us,False,[],20100us
C24090,2020 Technologies,2020 technologies,False,[],2020 technologies
C25610,"2020 Teknology, LLC",2020 teknology,False,[],2020 teknology
C24452,21 Technology LLC,21 technology,False,[],21 technology
C41649,210 Solutions,210 solutions,False,[],210 solutions
C47608,"215, LLC",215,False,[],215
C30972,21st Century Business Technology LLC,21st century business technology,False,[],21st century business technology
C41496,22Vets LLC,22vets,False,[],22vets
C41567,2352410 Alberta LTD,2352410 alberta,False,[],2352410 alberta
C23527,"24 Texas Group, LLC",24 texas group,False,[],24 texas group
C27553,24/7 IT Solutions,24/7 it solutions,False,[],24/7 it solutions
C40944,24/7 Networks,24/7 networks,False,[],24/7 networks
C47609,24/7 Networks,24/7 networks,False,[],24/7 networks
D00004,247 IT Professional Solutions Corp,247 it professional solutions,False,[],247 it professional solutions
C47567,"24By7Security, Inc.",24by7security,False,[],24by7security
C39506,24hourtek Inc.,24hourtek,False,[],24hourtek
C47610,24HRS NETWORK,24hrs network,False,[],24hrs network
C34796,2A Solve [LET Consulting],2a solve let consulting,False,[],2a solve let consulting
C35045,2B Solutions Inc,2b solutions,False,[],2b solutions
C31379,2iAmerica LLC,2iamerica,False,[],2iamerica
C34230,"2K Networking, Inc",2k networking,False,[],2k networking
C47611,2KLOUD,2kloud,False,[],2kloud
C42206,2M Computer Consulting Inc,2m computer consulting,False,[],2m computer consulting
C31858,"2M Networking, LLC",2m networking,False,[],2m networking
C36558,"2M Technologies, Inc.",2m technologies,False,[],2m technologies
C44491,"2MP Group, LLC",2mp group,False,[],2mp group
C28359,2nd Gear,2nd gear,False,[],2nd gear
C29066,2nd Watch,2nd watch,False,[],2nd watch
C36640,2NetworkIT,2networkit,False,[],2networkit
C28953,2Secure Corp,2secure,False,[],2secure
C45454,2Source4 B.V,2source4 b.v,False,[],2source4 b.v
C36221,"2-U Technology, LLC",2-u technology,False,[],2-u technology
C29335,2utec llc,2utec,False,[],2utec
C28698,2W Technologies,2w technologies,False,[],2w technologies
C43186,"2W Technologies, INC",2w technologies,False,[],2w technologies
C50989,"3 A.V. INDUSTRIES, CORP dba SWITH-WIFI INDUSTRIES CORP",3 a.v. industries swith-wifi industries,False,[],3 a.v. industries swith-wifi industries
C30809,3 Dub IT Services,3 dub it services,False,[],3 dub it services
C39032,"3 Jacks Consulting, LLC",3 jacks consulting,False,[],3 jacks consulting
C40862,3 Z Tech,3 z tech,False,[],3 z tech
C40393,313 Systems,313 systems,False,[],313 systems
C27274,322 Consulting,322 consulting,False,[],322 consulting
C23319,323 Technologies,323 technologies,False,[],323 technologies
C40418,"324 Networks, Inc.",324 networks,False,[],324 networks
C35898,329 Perry St.,329 perry st,False,[],329 perry st
C47612,329 Perry St.,329 perry st,False,[],329 perry st
C27761,330 AM Technologies LLC,330 am technologies,False,[],330 am technologies
D00005,"3500 South DuPont Highway Suite 300 Dover, DE 19901",3500 south dupont highway suite 300 dover de 19901,False,[],3500 south dupont highway suite 300 dover de 19901
C37489,"359 Solutions, LLC",359 solutions,False,[],359 solutions
C46519,360 Security Services,360 security services,False,[],360 security services
C26786,360 Solutions Group,360 solutions group,False,[],360 solutions group
C36631,360 Tech Group,360 tech group,False,[],360 tech group
C43001,360 Tech Hub Inc,360 tech hub,False,[],360 tech hub
C47613,360 Tech Hub Inc,360 tech hub,False,[],360 tech hub
C36955,360 TechBrokers,360 techbrokers,False,[],360 techbrokers
C43187,360IT,360it,False,[],360it
C40844,360IT Partners,360it partners,False,[],360it partners
C51892,360ns,360ns,False,[],360ns
C46794,360REV,360rev,False,[],360rev
C21526,365 Managed IT,365 managed it,False,[],365 managed it
C44823,"365 Operating Company LLC dba BroadbandOne, LLC",365 operating company broadbandone,False,[],365 operating company broadbandone
D00006,365 Technologies LLC,365 technologies,False,[],365 technologies
C25765,3B Networks LLC,3b networks,False,[],3b networks
C34005,3B1C Networks,3b1c networks,False,[],3b1c networks
C38027,3C Cyber Security,3c cyber security,False,[],3c cyber security
C39507,3C Technology Solutions,3c technology solutions,False,[],3c technology solutions
C39508,3Cloud LLC,3cloud,False,[],3cloud
C28024,3D Technology,3d technology,False,[],3d technology
C21527,"3D Tek, Inc.",3d tek,False,[],3d tek
C28612,3-dB Networks,3-db networks,False,[],3-db networks
C47614,3DG Partners,3dg partners,False,[],3dg partners
C21528,3F Incs,3f incs,False,[],3f incs
C23375,"3Fold IT, LLC",3fold it,False,[],3fold it
C47615,"3Fold IT, LLC",3fold it,False,[],3fold it
C35736,"3GB Technology Solutions, LLC",3gb technology solutions,False,[],3gb technology solutions
C47616,"3GB Technology Solutions, LLC",3gb technology solutions,False,[],3gb technology solutions
C45152,3HUE Executive Consulting,3hue executive consulting,False,[],3hue executive consulting
C23478,3i International,3i international,False,[],3i international
C23693,3i Technologies Inc.,3i technologies,False,[],3i technologies
C26112,3MD INC DBA DENALI ADVANCED INTEGRATION,3md denali advanced integration,False,[],3md denali advanced integration
C47617,3MS LLC,3ms,False,[],3ms
C38677,3N1 IT Consultants LLC,3n1 it consultants,False,[],3n1 it consultants
C41646,3nets.io,3nets.io,False,[],3nets.io
C46034,3Nines,3nines,False,[],3nines
C28371,3Nines Technologies,3nines technologies,False,[],3nines technologies
C34864,3nom,3nom,False,[],3nom
C46795,3packet.com Inc.,3packet.com,False,[],3packet.com
C28226,3Points,3points,False,[],3points
C27531,3rd Element Consulting,3rd element consulting,False,[],3rd element consulting
C38517,"3rd Element Consulting, Inc",3rd element consulting,False,[],3rd element consulting
C33095,3rd Evolution aka Microman,3rd evolution aka microman,False,[],3rd evolution aka microman
C47040,3rd Rock Technologies Inc.,3rd rock technologies,False,[],3rd rock technologies
C29799,3rdSYNC Networks,3rdsync networks,False,[],3rdsync networks
C32248,"3SG, LLC",3sg,False,[],3sg
C44972,"3S-Smart Solutions Star, Inc",3s-smart solutions star,False,[],3s-smart solutions star
C31279,3Vector Systems Inc,3vector systems,False,[],3vector systems
C22780,3Wan Inc.,3wan,False,[],3wan
C28981,3Z Telecom,3z telecom,False,[],3z telecom
C35309,4 Best Business Corp,4 best business,False,[],4 best business
C42261,4 Pair Communications LLC,4 pair communications,False,[],4 pair communications
C47618,4 Pair Communications LLC,4 pair communications,False,[],4 pair communications
C39509,4 Star Technologies Inc,4 star technologies,False,[],4 star technologies
C27821,404 Cybersecurity LLC,404 cybersecurity,False,[],404 cybersecurity
C23913,"405IT, LLC",405it,False,[],405it
C47619,"405IT, LLC",405it,False,[],405it
C39510,415 Group,415 group,False,[],415 group
C47301,415 IT,415 it,False,[],415 it
C25200,42 inc.,42,False,[],42
C42228,"42 Tech Solutions, Inc.",42 tech solutions,False,[],42 tech solutions
C47302,42Gears Mobility Systems,42gears mobility systems,False,[],42gears mobility systems
C47620,42Support,42support,False,[],42support
C39511,432 Tech LLC,432 tech,False,[],432 tech
C24777,43minus1 LLC,43minus1,False,[],43minus1
C35773,43Tc,43tc,False,[],43tc
C45070,451 Research,451 research,False,[],451 research
C39276,46Solutions,46solutions,False,[],46solutions
C39512,48 Technologies,48 technologies,False,[],48 technologies
C23678,499 Enterprises,499 enterprises,False,[],499 enterprises
C42319,4BCloud Solutions,4bcloud solutions,False,[],4bcloud solutions
C39065,4BIS.COM INC,4bis.com,False,[],4bis.com
C35392,4C Technologies Inc,4c technologies,False,[],4c technologies
C21529,4CIT,4cit,False,[],4cit
C34029,4Cube Solutions,4cube solutions,False,[],4cube solutions
C51706,"4in6.net, LLC",4in6.net,False,[],4in6.net
C45455,4IP B.V,4ip b.v,False,[],4ip b.v
C23570,4ip Technology,4ip technology,False,[],4ip technology
C27742,4IT,4it,False,[],4it
C31864,4K Solutions,4k solutions,False,[],4k solutions
C39513,4Leet,4leet,False,[],4leet
C26067,"4n2n Solutions, LLC",4n2n solutions,False,[],4n2n solutions
C47621,"4n2n Solutions, LLC",4n2n solutions,False,[],4n2n solutions
C33995,"4P IT Services, LLC",4p it services,False,[],4p it services
C34126,4P Managed Solutions,4p managed solutions,False,[],4p managed solutions
C23855,"4PC-Help, DBA The Computer Hospital",4pc-help the computer hospital,False,[],4pc-help the computer hospital
C39514,4QuartersIT Group. Inc,4quartersit group,False,[],4quartersit group
D00007,"4Tech Solutions, LLC",4tech solutions,False,[],4tech solutions
C21530,"4TEKGear, LLC",4tekgear,False,[],4tekgear
C40525,4th and Bailey,4th and bailey,False,[],4th and bailey
C51634,4TressCyber Holdings LLC.,4tresscyber holdings,False,[],4tresscyber holdings
C43967,4xBolt LLC,4xbolt,False,[],4xbolt
C36718,5 Computer Guys,5 computer guys,False,[],5 computer guys
C42363,5 Factor Technology,5 factor technology,False,[],5 factor technology
C36130,5 Fold Technologies,5 fold technologies,False,[],5 fold technologies
C47622,5 Fold Technologies,5 fold technologies,False,[],5 fold technologies
C46104,5 Iron,5 iron,False,[],5 iron
C43526,5 Point Software Inc,5 point software,False,[],5 point software
C26800,5 Point Technology,5 point technology,False,[],5 point technology
C29752,5 Rings Oasis LLC,5 rings oasis,False,[],5 rings oasis
C47623,5 Why Solutions LLC,5 why solutions,False,[],5 why solutions
C36956,5+design,5 design,False,[],5 design
D00008,"5086 White Oak Hwy, Branch, LA 70516",5086 white oak hwy branch la 70516,False,[],5086 white oak hwy branch la 70516
C39515,509 Geek,509 geek,False,[],509 geek
C42000,525 Technologies,525 technologies,False,[],525 technologies
C28606,5280 Digital Inc,5280 digital,False,[],5280 digital
C47624,5280 Digital Inc,5280 digital,False,[],5280 digital
C34105,5370 Technology Solutions,5370 technology solutions,False,[],5370 technology solutions
D00009,539 IT Consulting,539 it consulting,False,[],539 it consulting
C27735,55 Fidelius Family Office,55 fidelius family office,False,[],55 fidelius family office
C40361,574 Technologies LLC,574 technologies,False,[],574 technologies
C30182,596 Network Corp - DBA Home Technology Experts,596 network - home technology experts,False,[],596 network - home technology experts
C21531,5A Acoustics LLC,5a acoustics,False,[],5a acoustics
D00010,5DMNS Inc.,5dmns,False,[],5dmns
C47625,5i Solutions Inc,5i solutions,False,[],5i solutions
C33585,"5i Solutions, Inc",5i solutions,False,[],5i solutions
C34865,5K Technical Services,5k technical services,False,[],5k technical services
C38518,5minspec,5minspec,False,[],5minspec
C34047,5NINES DATA LLC,5nines data,False,[],5nines data
C28991,5Q Partners,5q partners,False,[],5q partners
C38519,5S Technologies,5s technologies,False,[],5s technologies
C43188,5th Gear Technology Concepts,5th gear technology concepts,False,[],5th gear technology concepts
C41373,6connect,6connect,False,[],6connect
C47626,"6S Technology, LLC",6s technology,False,[],6s technology
C43189,6th Street Consulting,6th street consulting,False,[],6th street consulting
